Event Name,Event Time,Status,External Url
Accelerating outcome learning for social enterprises.,"Dec 14, 2021 05:00 PM - Dec 14, 2021 07:00 PM",NOT_ATTENDING,https://us02web.zoom.us/webinar/register/4016352737934/WN_sQiy5UvZTi-gRCnJEMnaIA
"""We Don't Demolish Your Old Building We UnBuild It""~unbuilders 10/29#BSLIVE","Oct 29, 2021 05:00 PM - Oct 29, 2021 06:00 PM",NOT_ATTENDING,
Ignite Your Business Fundamentals and Empower Your Leadership,"Sep 14, 2021 05:00 PM - Nov 23, 2021 07:30 PM",NOT_ATTENDING,https://www.eventbrite.com/e/ignite-your-business-fundamentals-and-empower-your-leadership-tickets-166995581279
Creating Water Out Of Thin Air,"Apr 07, 2021 04:00 PM - Apr 07, 2021 05:00 PM",NOT_ATTENDING,https://forcewealth.com/portfolio-items/EAWD-04-07/
The Digital Asset Playbook for Wealth Managers,"May 25, 2021 03:00 PM - May 25, 2021 04:00 PM",ATTENDING,https://us02web.zoom.us/webinar/register/4116203242022/WN_1OKwDdfxSu2pk2n6Z6npTA
Feb 10: Corporate Climate Equity Net Impact Case Competition,"Feb 10, 2022 06:00 PM - Feb 10, 2022 07:00 PM",ATTENDING,
WEEKLY LIVE COACHING ++ FORMULA EQ ACADEMY ++ EVERY FRIDAY AT 8am PST,"Nov 19, 2021 03:00 PM - Nov 19, 2021 04:00 PM",NOT_ATTENDING,
"CoPeace's ""Buzzer Beater"" Investment Day","Apr 08, 2021 06:00 AM - Apr 09, 2021 05:00 AM",NOT_ATTENDING,https://wefunder.com/copeace
Mar 3: Corporate Climate Equity Net Impact Case Competition,"Mar 10, 2022 06:00 PM - Mar 10, 2022 07:00 PM",ATTENDING,
Sep 16: Massachusetts Investor Club,"Sep 16, 2021 05:00 PM - Sep 16, 2021 07:00 PM",ATTENDING,https://www.eventbrite.com/e/massachusetts-investor-club-tickets-158471403233
Nov 16: California Sustainable Forestry Investor Club,"Nov 16, 2021 08:30 PM - Nov 16, 2021 10:30 PM",ATTENDING,https://impactfinctr.co/casfnov16
Mar 17: Corporate Climate Equity Net Impact Case Competition,"Mar 17, 2022 05:00 PM - Mar 17, 2022 06:00 PM",ATTENDING,
EBCF Virtual Inclusive Economy Showcase,"Sep 30, 2021 06:30 PM - Sep 30, 2021 09:30 PM",ATTENDING,https://ebcfinclusiveeconomy.eventbrite.com
🌱CoPeace Crowdfunding Campaign Closes April 30th,"Apr 29, 2021 01:30 PM - May 01, 2021 02:00 AM",ATTENDING,https://wefunder.com/copeace
Be the Master of your Own Mind with Isabel Mar,"Dec 01, 2021 04:00 PM - Dec 01, 2021 05:00 PM",NOT_ATTENDING,https://us02web.zoom.us/j/84458648105?pwd=QkU4Y05PWk1BT3QwaHFORkpIdjVwQT09
Knowing the Value of Your Data Before Starting Your Data Governance Project,"May 13, 2021 05:00 PM - May 13, 2021 06:00 PM",NOT_ATTENDING,
National CleanUp Day ,"Sep 18, 2021 12:00 PM - Sep 19, 2021 03:00 AM",NOT_ATTENDING,https://www.nationalcleanupday.org
"Investing in Precious Metals, Strategic Metals and Critical Elements","Aug 24, 2021 06:30 PM - Aug 24, 2021 07:30 PM",NOT_ATTENDING,
What is the role of impact verification in impact investing?,"May 06, 2021 04:00 PM - May 06, 2021 05:00 PM",NOT_ATTENDING,https://us02web.zoom.us/webinar/register/5616183378316/WN_PXaYzmabR9elqWhQ48rxpw
FOOD FUNDED 2021 JEDI,"May 12, 2021 05:00 PM - May 12, 2021 09:00 PM",NOT_ATTENDING,https://foodfunded.eventbrite.com/?aff=ffsm
Introduction to Private Money Authority (Investment Opportunity),"Apr 28, 2021 08:00 PM - Apr 28, 2021 09:00 PM",NOT_ATTENDING,
Mar 10: Corporate Climate Equity Net Impact Case Competition,"Mar 10, 2022 06:00 PM - Mar 10, 2022 07:00 PM",ATTENDING,
$3M LinkedIn PlayBook Conference,"Jul 29, 2021 09:00 PM - Jul 30, 2021 12:00 AM",NOT_ATTENDING,https://us02web.zoom.us/j/83099984010?pwd=MHlydVU1SHRRSlZOdFNGS3BXdmpSZz09
Who’s paying for this?  ,"Oct 19, 2021 06:00 PM - Oct 19, 2021 07:00 PM",NOT_ATTENDING,
[FREE WEBINAR] Learn How to Earn Passive Crypto Income in a Volatile Market,"Dec 10, 2021 12:00 AM - Dec 10, 2021 02:00 AM",NOT_ATTENDING,www.ThePlanForPassiveCryptoIncome.com
#GivingTuesday with Attila Suba and Alicia Fall,"Nov 30, 2021 03:00 PM - Nov 30, 2021 04:00 PM",NOT_ATTENDING,
Jan 26: Diverse Manager Webinar,"Jan 26, 2022 06:00 PM - Jan 26, 2022 07:00 PM",ATTENDING,
Digital Asset Derivatives and the Rise of Institutional Investors,"Mar 24, 2021 03:00 PM - Mar 24, 2021 04:00 PM",NOT_ATTENDING,
Seed-Stage VC Fund - JJ Richa in a fireside chat with Joe Gatto,"Apr 19, 2021 06:00 PM - Apr 19, 2021 07:00 PM",NOT_ATTENDING,https://www.eventbrite.com/e/seedfolio-socals-newest-seed-stage-vc-fund-tickets-148562206559
"Be Your Own Boss: Franchising, Financing and Intellectual Property","Sep 29, 2021 03:00 PM - Sep 29, 2021 05:00 PM",NOT_ATTENDING,https://us02web.zoom.us/j/88603379587?pwd=NjBacWllZVVIRElRT0FXcXhkckNRZz09
The Very Human Future of AI ,"Oct 19, 2021 10:00 PM - Oct 20, 2021 12:00 AM",NOT_ATTENDING,https://www.eventbrite.com/e/the-very-human-future-of-ai-tickets-184939528107
Thrive as a Leader in the Face of Ever-Increasing Pressure…,"Aug 13, 2021 11:00 AM - Aug 28, 2021 07:00 AM",NOT_ATTENDING,https://create.moderndaysorcerer.com/masterclass-registration
Leadership is Broken: 3 Key Elements for Transformational Training,"Dec 07, 2021 06:00 PM - Dec 07, 2021 07:00 PM",NOT_ATTENDING,https://evolveyourleaders.com/webinar
Get A-List Clients By Activating The Connect & Profit Effect ,"May 13, 2021 06:00 PM - May 13, 2021 07:30 PM",NOT_ATTENDING,
Hawaiian Culture: Sustainability Then and Now,"Nov 16, 2021 07:00 PM - Nov 16, 2021 08:00 PM",NOT_ATTENDING,
Wood River High School 1991-1992: (30-year Class Reunion),"Jun 10, 2022 02:00 PM - Jun 12, 2022 04:00 AM",ATTENDING,
The Rise of Institutional Ethereum Investors,"Apr 27, 2021 03:00 PM - Apr 27, 2021 04:00 PM",NOT_ATTENDING,https://us02web.zoom.us/webinar/register/8016176494252/WN_eRSO9Z3kTk2a9-KFA_ZRwQ
Master Your Subconscious To Walk In P.O.W.E.R.,"Dec 14, 2021 04:00 PM - Dec 14, 2021 05:00 PM",NOT_ATTENDING,https://calendly.com/life-coach-king76/lifecoachking?month=2021-12
FREE WEBINAR - Decoupled Calculations In Real Estate Financial Modeling,"Sep 22, 2021 04:00 PM - Sep 22, 2021 06:00 PM",NOT_ATTENDING,https://gloriumtech.com/webinar-2021-september-22/
LEADERS FOR THE BUILT ENVIRONMENT,"Oct 19, 2021 04:00 PM - Oct 19, 2021 07:00 PM",ATTENDING,https://hopin.com/events/leaders-built-environment/registration
Legal Considerations in building and investing in social enterprises,"Jun 02, 2021 09:00 PM - Jun 02, 2021 10:00 PM",NOT_ATTENDING,https://www.eventbrite.com/e/legal-considerations-in-building-and-investing-in-social-enterprises-tickets-153495562359
The Lightning Round (July 2021),"Jul 14, 2021 06:00 PM - Jul 14, 2021 07:30 PM",NOT_ATTENDING,https://www.eventbrite.com/e/158906570831
3 DAYS TO INFINITE SUCCESS,"May 25, 2021 04:00 PM - May 27, 2021 05:00 PM",NOT_ATTENDING,https://www.diamondacademy.ca/3-days-to-infinite-success?fbclid=IwAR1Rqi3N-krta9IfKYHTupsud9cAy3dQbhMFQGsxVr6ybP_9HMwcI-IZTlU
FREE Success Mindset Q&A LIVE! with Preston Weekes and Eldin Hasa,"Mar 09, 2021 04:00 PM - Mar 09, 2021 06:00 PM",NOT_ATTENDING,
"Investing in Precious Metals - Gold, Silver and Osmium. ","Jul 27, 2021 08:30 PM - Jul 27, 2021 09:30 PM",NOT_ATTENDING,
Up-skill your AGILE Mindset,"Jun 20, 2021 10:30 PM - Jun 25, 2021 11:15 AM",NOT_ATTENDING,https://being-agile-train-your-mind.mailchimpsites.com/
YOUR LINKEDIN GROWTH STRATEGY → THE TROY SHOW,"Jan 12, 2022 07:00 PM - Jan 12, 2022 08:00 PM",NOT_ATTENDING,
Osmium What is it? How can you invest in it? How can you partner with us?,"May 11, 2021 08:00 PM - May 11, 2021 09:00 PM",NOT_ATTENDING,
Social Impact Conference,"May 20, 2021 03:00 PM - May 20, 2021 05:00 PM",ATTENDING,https://us02web.zoom.us/j/89404275411?pwd=MEVDVDRhRklZSlFPMkJhTWxnMG1aQT09
Reuters NEXT,"Dec 01, 2021 02:00 PM - Dec 03, 2021 09:00 PM",NOT_ATTENDING,https://1.reutersevents.com/LP=31005?extsource=social_linkedin_event_reg
Art & Justice: The Power of Reconciliation ,"Jul 08, 2021 11:30 PM - Jul 09, 2021 02:00 AM",NOT_ATTENDING,https://www.eventbrite.com/e/art-justice-the-power-of-reconciliation-tickets-160590806425
Art & Politics: The Power of Leadership,"Aug 19, 2021 11:30 PM - Aug 20, 2021 02:00 AM",NOT_ATTENDING,https://www.eventbrite.com/e/art-politics-the-power-of-leadership-tickets-160600106241
REGISTER NOW ++ PEAK MINDSET COMMUNITY ++ every Friday at 8am PST/ 3pm GMT,"May 21, 2021 03:00 PM - May 21, 2021 04:00 PM",NOT_ATTENDING,https://www.formulaeq.com/free-masterclass
Party on a Tuesday,"Oct 05, 2021 12:30 PM - Oct 06, 2021 05:00 AM",ATTENDING,https://www.eventbrite.com/e/party-on-a-tuesday-tickets-168363302169
IGNITE YOUR CALLING,"Oct 21, 2021 03:00 PM - Oct 23, 2021 06:30 PM",NOT_ATTENDING,https://kathleencameronofficial.com/igniteyourcalling/?fbclid=IwAR3u8akM94W4sLRphlDk7xOHGGfCMNgYIJb9EQ7cBpKr8aW3CgxZpKbUD6M
National CleanUp Day,"Sep 18, 2021 12:00 PM - Sep 19, 2021 03:00 AM",NOT_ATTENDING,
Oct 20: Sustainable Forestry Investor Club,"Oct 20, 2021 05:30 PM - Oct 20, 2021 07:30 PM",ATTENDING,https://www.eventbrite.com/e/sustainable-forestry-investor-club-tickets-139957672165
How To Build A $25k/Mo Career Or Executive Coaching Business Via LinkedIn,"Oct 21, 2021 05:30 PM - Oct 21, 2021 07:30 PM",NOT_ATTENDING,
Networking in Denver,"Aug 27, 2021 12:00 AM - Aug 27, 2021 02:00 AM",ATTENDING,
Family Office webinar: Investing in Cryptocurrencies,"Sep 14, 2021 04:00 PM - Sep 14, 2021 05:00 PM",NOT_ATTENDING,
May 26: Nonprofit Investor Club,"May 26, 2021 04:00 PM - May 26, 2021 06:00 PM",ATTENDING,https://www.eventbrite.com/e/nonprofit-investor-club-tickets-149791447251
Dec 3: New York State CDFI Investor Club Webinar,"Dec 03, 2021 05:00 PM - Dec 03, 2021 07:00 PM",ATTENDING,
Business Success Conference: How to scale your business with Ajay Patel,"Dec 09, 2021 04:00 PM - Dec 09, 2021 05:00 PM",NOT_ATTENDING,https://eprenz.com/events/business-success-conference-dec/
 Accompany Capital's 9th Annual Immigrant Heritage Week Awards,"Apr 15, 2021 10:00 PM - Apr 15, 2021 11:15 PM",NOT_ATTENDING,http://events.r20.constantcontact.com/register/event?oeidk=a07ehsd2umv33f3379d&fbclid=IwAR1zKeRkZ8Lktw2uKXWXRWrSxNRGc7xHKgLEWNZ6xTgi6-cqkUakfnNAHMU&llr=pvntbcdab
Next-Level Business Growth Conference,"Jun 18, 2021 12:00 PM - Jun 18, 2021 02:00 PM",NOT_ATTENDING,https://us02web.zoom.us/j/83693003897?pwd=b0pDWVVOYmJzdlR2VU1LYUtyL3Z4QT09
Power of Mind 5 Day Workshop,"Apr 19, 2021 04:00 PM - Apr 19, 2021 05:00 PM",NOT_ATTENDING,https://www.diamondacademy.ca/power-of-the-mind
"Business Success Conference: Learn 3Ps - Purpose, Process & People","Sep 22, 2021 03:00 PM - Sep 22, 2021 05:00 PM",NOT_ATTENDING,https://us02web.zoom.us/j/81724852473?pwd=VzJSbTYvWFZDbEt6RlhUdDRITDZ6UT09
May 19: Fixed Income Investor Club,"May 19, 2021 04:00 PM - May 19, 2021 06:00 PM",ATTENDING,https://www.eventbrite.com/e/fixed-income-investor-club-tickets-149792624773
This is a paid event: G7-G20 Solutions through Inclusivity Virtual Summit ,"Nov 17, 2021 02:00 PM - Nov 17, 2021 09:00 PM",NOT_ATTENDING,
FOOD FUNDED 2021 Community Traction,"Oct 13, 2021 05:00 PM - Oct 13, 2021 09:00 PM",ATTENDING,https://foodfunded.eventbrite.com/?aff=li&discount=FF21FAM
Fintech Fest 1.0,"Aug 10, 2022 07:00 PM - Aug 11, 2022 04:00 AM",NOT_ATTENDING,https://fintechretreat.com/index.php/fest#passes
Fintech Retreat 2022,"Jan 11, 2022 06:00 PM - Jan 12, 2022 03:00 AM",NOT_ATTENDING,https://www.eventbrite.com/e/fintech-retreat-2022-tickets-163133606007
WEEKLY LIVE COACHING ++ FORMULA EQ ACADEMY ++ EVERY FRIDAY AT 8am PST,"Nov 12, 2021 03:00 PM - Nov 12, 2021 04:00 PM",NOT_ATTENDING,
WEEKLY LIVE COACHING ++ FORMULA EQ ACADEMY ++ EVERY FRIDAY AT 9am MST,"Dec 03, 2021 04:00 PM - Dec 03, 2021 05:00 PM",NOT_ATTENDING,
[LIVE] Done-For-You Marketing For Firm Leaders Who Want Guaranteed Growth,"Nov 30, 2021 07:00 PM - Nov 30, 2021 08:00 PM",ATTENDING,
Cienega Capital Pitch Day,"Jul 29, 2021 05:30 PM - Jul 29, 2021 07:00 PM",ATTENDING,https://noregretsinitiative.activehosted.com/index.php?action=social&chash=ac1dd209cbcc5e5d1c6e28598e8cbbe8.4547&s=7a617e712dc2d328355d1d6e46b5d250
