Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Green Screen Techniques for Video and Photography,"Learning to shoot green screen removes many time and budget limitations. Instead of scouting and shooting on location—a prohibitive expense for most productions—you can digitally recreate the background of your scene. This course takes you through the steps of shooting both photography and video on green screen. Authors Rich Harrington and Abba Shapiro walk you through the process of preparing a live action set, from hanging the backdrop to lighting the subject with strobes; positioning and posing your subject; and completing the scene with post-production techniques in Adobe After Effects, Photoshop, and Premiere Pro. Learn how to composite your footage against a new digital background plate, match the color and exposure, adjust focus, and perform keying for motion.<br><br>This course was created by RHED Pixel. We are pleased to offer this training in our library.",Course,2021-06-15 17:01 UTC,N/A,false,N/A,
Making Video 2: Teach Something,"<i>Making Video: Teach Something</i> is a beginner-level course for non-video people who want to make short videos focused on instruction. Staff author Ashley Kennedy shows that with the right techniques, making an engaging training video can be accomplished with little more than a smartphone. The course is presented in a workshop style where Ashley teaches a real-world professional (a chef) how to make a video for her website. Like the rest of the Making Video series, this course focuses on (a) planning a video project with an eye for success, (b) shooting the best possible video using very basic equipment, and (c) editing video with intention and finesse using free editing software. This installment also includes tips for teaching on camera. Following the same steps, you should be able to create engaging videos to teach others new skills and promote your brand and expertise.",Course,2020-03-26 09:12 UTC,N/A,false,N/A,
Amazon Web Services: Data Analytics,"Many modern organizations have a wealth of data that they can draw from to inform their decisions. But all of this information can't truly benefit a business unless the professionals working with that data can efficiently extract meaningful insights from it. Amazon Web Services (AWS) offers data scientists an array of tools and services that they can leverage to analyze data. In this course, learn about best practices, patterns, and tools for designing and implementing data analytics using AWS. Explore key analytics concepts, common methods of approaching analytics challenges, and how to work with services such as Athena, RDS, and QuickSight. Plus, discover how to visualize text-based data in a more visually intuitive way, use partner solutions for analytics from the AWS Marketplace, and more.",Course,2019-05-12 19:33 UTC,N/A,false,N/A,
Find Your Passion: How Padma Lakshmi Found Hers,"Throughout Padma Lakshmi's impressive career, she has assumed a range of roles, including model, author, and executive producer of an Emmy award-winning show: <i>Top Chef</i>. In this course, Padma digs into the life and career experiences that helped her find success. Along the way, she shares practical strategies that can help professionals of all stripes find their unique place in the world, face their fears, and seize the opportunities that come their way. Tune in to get Padma's advice for young women on how to land their dream job, as well as her thoughts on the importance of giving back to your community—both by helping to eradicate inequality and by being vulnerable about your own challenges. Plus, she shares her take on why it's essential to nurture your own health and passions throughout your journey.",Course,2021-01-17 00:43 UTC,N/A,false,N/A,
"Diversity, Inclusion, and Belonging","Diversity is having a culture that values uniqueness: people of different backgrounds, cultures, genders, and races. Inclusion means inviting diverse groups to take part in company life. If you're tuned into conversations about HR, you've probably heard these terms before. But there's a third critical piece: belonging. It's belonging that makes each individual feel accepted for who they are. Explore the diversity, inclusion, and belonging (DIB) approach, and discover how to activate it in your organization. Join HR luminary Pat Wadors as she explains how to drive the conversation on DIBs, hire and retain diverse talent, listen to employees, and integrate DIBs into your employee life cycle. Managers and executives should tune in for special tips on embedding DIBs in the employee experience.",Course,2021-01-29 05:10 UTC,N/A,false,N/A,
Creating Your Personal Brand,"Your personal brand is your reputation and legacy. A strong personal brand can lead to job and career opportunities. A weak personal brand leaves you liable to be passed by. In this course, personal branding expert Lida Citroën helps you identify what your personal brand is now and align it with the brand you want for yourself in the future. In the process, she helps you target the individuals or groups who have the opportunities you seek, strategize the marketing for your brand, and identify who you need to know and where to find them. She also helps you figure out how to portray your personal brand on social media outlets such as LinkedIn, Facebook, and YouTube. Plus, learn how to craft an elevator pitch for your personal brand so you can make a good impression even on short notice.",Course,2021-02-10 19:42 UTC,N/A,false,N/A,
Mastering Common Interview Questions,"Preparing for an interview can be daunting. Learn how to master the top 10 most common interview questions you'll encounter when looking for a new job. The tips provided in this course will help you craft authentic answers that showcase your experience and your enthusiasm for an organization. For each question, career coach Valerie Sutton explains why the interviewer is asking it and then provides you with the best response. She also provides advice for tailoring your answer to entry-level or midcareer roles. In each chapter, we provide role-playing scenarios to illustrate the questions—and answers—in action.",Course,2019-02-01 15:37 UTC,N/A,false,N/A,
Jodi Glickman on Pitching Yourself,"Pitching is a universal skill. The time will come when you need to pitch an idea, a project, or even yourself. But you may stumble when the moment strikes—if you don't have a quick and effective process to nail the pitch. In this free course, thought leader Jodi Glickman shares her go-to approach for selling your ideas, your story, and yourself. Learn three easy steps to a successful pitch: destination, backstory, and connecting the dots.",Course,2018-12-12 01:19 UTC,N/A,false,N/A,
Executive Presence on Video Conference Calls,"Learn how to shine on video conference calls. Communication consultant Jessica Chen provides expert advice to look and sound confident, collected, and smart on your next conference call or video presentation. Discover how to prepare your material, how to contribute to the call, and how to incorporate engaging visuals. Get body language, posture, and wardrobe tips to make a powerful impression. Finally, learn the technical details to building a mini ""studio"" for conducting calls, including choosing a webcam, lighting yourself, and placing a microphone for quality sound. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2020-11-19 22:57 UTC,N/A,false,N/A,
Navigating Environmental Sustainability: A Guide for Leaders,"Regardless of industry, the global business sector is being transformed around a common issue: environmental sustainability. Business leaders around the world are grappling with meaningful efforts to address climate issues relevant to their organizations. In this course, the chief environmental officer at Microsoft, Dr. Lucas Joppa, discusses some of the most pressing questions surrounding this critical topic. Dr. Joppa frames this course not around a set of rigid rules companies should follow, but through methods for individual companies to evaluate what strategies fit best and how to leverage existing strengths to make the biggest impact. By following just a few of the key principles and concepts Dr. Joppa lays out, companies can ensure that they are not only prepared for the business transformations that lie ahead, but are key architects of it, leading the way on a vital issue.",Course,2021-04-09 23:34 UTC,N/A,false,N/A,
